ID,po_ID,lineItem,material,quantity,unitPrice
22222222-0000-0000-0000-000000000001,11111111-0000-0000-0000-000000000001,1,Steel Pipes,100.000,350.00
22222222-0000-0000-0000-000000000002,11111111-0000-0000-0000-000000000001,2,Copper Wire,50.000,800.00
22222222-0000-0000-0000-000000000003,11111111-0000-0000-0000-000000000002,1,Aluminium Sheets,200.000,250.00
22222222-0000-0000-0000-000000000004,11111111-0000-0000-0000-000000000002,2,Rubber Gaskets,500.000,45.00
22222222-0000-0000-0000-000000000005,11111111-0000-0000-0000-000000000003,1,Titanium Bolts,1000.000,12.00
22222222-0000-0000-0000-000000000006,11111111-0000-0000-0000-000000000004,1,Industrial Motors,10.000,8500.00
22222222-0000-0000-0000-000000000007,11111111-0000-0000-0000-000000000004,2,Control Panels,5.000,15000.00
22222222-0000-0000-0000-000000000008,11111111-0000-0000-0000-000000000005,1,Hydraulic Pumps,25.000,2200.00
22222222-0000-0000-0000-000000000009,11111111-0000-0000-0000-000000000006,1,Safety Valves,150.000,320.00
22222222-0000-0000-0000-000000000010,11111111-0000-0000-0000-000000000007,1,Circuit Breakers,75.000,1800.00
